model,nombre,implementation,best_params,best_cv_auc,accuracy,precision,recall,f1,roc_auc,average_precision,fit_cv_seconds,predict_seconds,tn,fp,fn,tp
logistic_regression,Regresión logística,LogisticRegression,{'C': 0.9291538753149833},0.7098588735461707,0.8023503876429968,0.5492410218437616,0.0552390527256479,0.10038231214263965,0.7098434329200913,0.3713440042408469,18.72641190001741,0.04744210001081228,212915,2435,50745,2967
decision_tree,Árbol de decisión,DecisionTreeClassifier,{'max_depth': 10},0.7028330697564084,0.8014881328467045,0.5220978196817914,0.06598153112898421,0.11715702479338842,0.7039768234546792,0.3610990294468834,571.605190299917,0.20601639989763498,212106,3244,50168,3544
random_forest,Bosque aleatorio,RandomForestClassifier,"{'max_depth': 15, 'n_estimators': 10}",0.7072496984981651,0.8020196088633846,0.5481207907886161,0.04697274352100089,0.0865300523021521,0.7079635575773974,0.3686787919565322,433.8256879998371,1.9273335002362728,213270,2080,51189,2523
hist_gradient_boosting,HistGradientBoosting,HistGradientBoostingClassifier,"{'max_depth': 5, 'max_iter': 50}",0.7129093435099455,0.8028038147341505,0.5742506811989101,0.04708445040214477,0.08703283088994425,0.7132369394849389,0.3779205651329436,220.66808500001207,11.312672800384462,213475,1875,51183,2529
linear_svc,SVM lineal,LinearSVC,{'C': 0.009291538753149831},0.49939879204454013,0.8003731481963265,0.0,0.0,0.0,0.47585100456482676,0.1949466620386128,894.1873381002806,0.2115001999773085,215350,0,53712,0
gaussian_nb,Naive Bayes gaussiano,GaussianNB,{},,0.669236086849871,0.3133319225478785,0.5513293118856122,0.3995763112088624,0.666766878139438,0.31220514262607996,2.586748699657619,1.3374006999656558,150453,64897,24099,29613
