variable,mediana_imputacion_train,media_scaler_train,escala_train
loan_amnt,12000.0,14420.946264243928,8719.164866936764
int_rate,12.74,13.2418097966268,4.770965877946191
fico_range_high,694.0,700.193178523909,31.872015407301795
annual_inc,65000.0,76241.93752543094,69566.25557171246
dti,17.62,18.285852861050614,11.331440140475472
