model_1,model_2,delong_auc_1,delong_auc_2,delong_delta_auc,delong_z,delong_p_value,mcnemar_b_model_1_correct_model_2_wrong,mcnemar_c_model_1_wrong_model_2_correct,mcnemar_p_value,bootstrap_observed_delta_auc,bootstrap_bootstrap_replicates,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_p_value_two_sided,delong_holm_p_value,mcnemar_holm_p_value,bootstrap_holm_p_value
gradient_boosted_tree,decision_tree,0.712741441788378,0.49389863944459617,0.21884280234378178,114.95133045656517,0.0,2488,2123,8.177183671492788e-08,0.21884280234378167,20,0.21326612179183244,0.22112858940199384,0.0,0.0,2.453155101447836e-07,0.0
gradient_boosted_tree,linear_svc,0.712741441788378,0.6301449070636097,0.08259653472476824,65.52714584411694,0.0,3642,3012,1.1943840549305568e-14,0.08259653472476813,20,0.07954433484010684,0.08464203388926088,0.0,0.0,4.777536219722227e-14,0.0
gradient_boosted_tree,logistic_regression,0.712741441788378,0.7098752733580896,0.0028661684302883073,8.115662415142902,4.831420569516848e-16,2629,2530,0.1724341535192954,0.0028661684302884183,20,0.00237936199134412,0.003459217412266266,0.0,4.831420569516848e-16,0.1724341535192954,0.0
gradient_boosted_tree,naive_bayes,0.712741441788378,0.5255347324799589,0.1872067093084191,103.66842036868145,0.0,62883,26590,0.0,0.1872067093084191,20,0.1811358106988589,0.1907490968033122,0.0,0.0,0.0,0.0
gradient_boosted_tree,random_forest,0.712741441788378,0.7067507261163409,0.005990715672037017,16.180061948963978,6.972424930353437e-59,2232,2065,0.011321174825740955,0.005990715672037128,20,0.005544669653508999,0.006716670810551211,0.0,1.3944849860706875e-58,0.02264234965148191,0.0
