familia_modelo,modelo_sklearn,modelo_pyspark,delong_auc_1,delong_auc_2,delong_delta_auc,delong_z,delong_p_value,mcnemar_b_model_1_correct_model_2_wrong,mcnemar_c_model_1_wrong_model_2_correct,mcnemar_p_value,bootstrap_observed_delta_auc,bootstrap_bootstrap_replicates,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_p_value_two_sided,delong_holm_p_value,mcnemar_holm_p_value,bootstrap_holm_p_value
Regresión logística,logistic_regression,logistic_regression,0.7098434329200914,0.7098752733580896,-3.184043799819847e-05,-1.3057677216440655,0.1916315600152496,75,74,1.0,-3.184043799819847e-05,100,-7.226426404000619e-05,1.1365647812666686e-05,0.21782178217821782,0.1916315600152496,1.0,0.21782178217821782
Árbol de decisión,decision_tree,decision_tree,0.7039768234546792,0.49389863944459617,0.210078184010083,108.9518397031191,2.2250738585072014e-308,1775,1740,0.5663277266211125,0.21007818401008288,100,0.20486389179157266,0.2130386008622543,0.019801980198019802,1.3350443151043208e-307,1.0,0.1188118811881188
Bosque aleatorio,random_forest,random_forest,0.7079635575773974,0.7067507261163409,0.0012128314610564406,3.5064513915462547,0.0004541243729707482,1616,1636,0.7390044884921512,0.0012128314610565516,100,0.0006806057275127481,0.0019436331568459385,0.019801980198019802,0.0013623731189122445,1.0,0.1188118811881188
Boosting,hist_gradient_boosting,gradient_boosted_tree,0.7132369394849392,0.712741441788378,0.000495497696561209,2.3869683991267396,0.016987951437745515,1561,1537,0.6794481525918054,0.000495497696560987,100,0.00018900122686975606,0.0009428222642077321,0.019801980198019802,0.03397590287549103,1.0,0.1188118811881188
SVM lineal,linear_svc,linear_svc,0.4758510045648268,0.6301449070636097,-0.1542939024987829,-74.76286221029196,2.2250738585072014e-308,0,0,1.0,-0.15429390249878305,100,-0.15891723226582383,-0.1495998206850369,0.019801980198019802,1.3350443151043208e-307,1.0,0.1188118811881188
Naive Bayes gaussiano,gaussian_nb,naive_bayes,0.666766878139438,0.5255347324799589,0.14123214565947917,78.53622208932899,2.2250738585072014e-308,1180,801,1.6159948286363902e-17,0.14123214565947917,100,0.13754166065174592,0.14420010459107274,0.019801980198019802,1.3350443151043208e-307,9.695968971818342e-17,0.1188118811881188
