model_1,model_2,delong_auc_1,delong_auc_2,delong_delta_auc,delong_z,delong_p_value,mcnemar_b_model_1_correct_model_2_wrong,mcnemar_c_model_1_wrong_model_2_correct,mcnemar_p_value,bootstrap_observed_delta_auc,bootstrap_bootstrap_replicates,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_p_value_two_sided,delong_holm_p_value,mcnemar_holm_p_value,bootstrap_holm_p_value
hist_gradient_boosting,decision_tree,0.7132369394849392,0.7039768234546792,0.009260116030260002,22.637553887410466,1.850302246806341e-113,2223,1869,3.358521924418964e-08,0.00926011603025978,20,0.008717025923254093,0.010019147411496657,0.0,5.550906740419023e-113,1.0075565773256892e-07,0.0
hist_gradient_boosting,gaussian_nb,0.7132369394849392,0.666766878139438,0.046470061345501135,45.394275923289634,0.0,63202,27264,0.0,0.04647006134550091,20,0.04417933980703652,0.04839225300087328,0.0,0.0,0.0,0.0
hist_gradient_boosting,linear_svc,0.7132369394849392,0.4758510045648268,0.23738593492011234,119.89398747902239,0.0,2529,1875,6.338725768397836e-23,0.23738593492011217,20,0.23221093061725648,0.23913109800324947,0.0,0.0,2.5354903073591344e-22,0.0
hist_gradient_boosting,logistic_regression,0.7132369394849392,0.7098434329200914,0.0033935065648477147,10.017364119202307,1.2786762209029515e-23,1890,1768,0.04541913560433801,0.0033935065648476037,20,0.0027421230201063406,0.0039673515375482716,0.0,1.2786762209029515e-23,0.04541913560433801,0.0
hist_gradient_boosting,random_forest,0.7132369394849392,0.7079635575773974,0.005273381907541785,16.083883146576067,3.309671148458361e-58,1578,1367,0.00010828880211478803,0.005273381907541563,20,0.004613837344665162,0.006015703909756259,0.0,6.619342296916723e-58,0.00021657760422957607,0.0
