,loan_amnt,int_rate,annual_inc,dti,fico_range_high,default
loan_amnt,1.0,0.141672937159204,0.3117936000901866,0.03205736923108127,0.10098310738104505,0.06560394095921178
int_rate,0.141672937159204,1.0,-0.07224465453651713,0.14688599456851534,-0.4053639478190975,0.25879166642033735
annual_inc,0.3117936000901866,-0.07224465453651713,1.0,-0.14048781350408052,0.07099218137460384,-0.04175941870642554
dti,0.03205736923108127,0.14688599456851534,-0.14048781350408052,1.0,-0.06192879348430069,0.08451003458937298
fico_range_high,0.10098310738104505,-0.4053639478190975,0.07099218137460384,-0.06192879348430069,1.0,-0.13068200722047998
default,0.06560394095921178,0.25879166642033735,-0.04175941870642554,0.08451003458937298,-0.13068200722047998,1.0
