variable,media_paid,media_default,diferencia_medias,mediana_paid,mediana_default,mannwhitney_U,p_mannwhitney,correlacion_punto_biserial,p_punto_biserial
loan_amnt,14134.36980787573,15565.055444055124,1430.6856361793944,12000.0,14350.0,129804235071.0,0.0,0.06560394095921329,0.0
int_rate,12.623288281134634,15.710713623449596,3.087425342314962,12.23,15.05,91524486950.0,0.0,0.2587916664203433,0.0
annual_inc,77705.94550500532,70400.74328281681,-7305.202222188513,65000.0,60000.0,158568849776.5,0.0,-0.04175941870642542,0.0
dti,17.811629321620735,20.17119629182682,2.3595669702060853,17.11,19.76,122222806999.5,0.0,0.08451003458936478,0.0
fico_range_high,702.2640619790462,691.8501707259858,-10.413891253060456,694.0,684.0,171590901833.5,0.0,-0.13068200722048082,0.0
