variable,chi2,grados_libertad,p_value,V_Cramer
emp_length,2835.4109141763056,11,0.0,0.04590889272476358
purpose,4144.196009660181,13,0.0,0.05550204163769579
home_ownership,6743.1900325868355,5,0.0,0.07079808557165046
addr_state,3403.5832745264975,50,0.0,0.05029872832971868
verification_status,11387.439026374996,2,0.0,0.09200296995758085
grade,92284.25105933327,6,0.0,0.2619103197696805
term,41716.83012614105,1,0.0,0.17609396213967315
